Category,Category_option
Chemical infection,my skin has turned silver
loss of balance,I often loose my balance
cold and cough,I have cold and cough
throat or thyroid,I have thyroid or throat infection
eye issues,I have eye related issues
fever,I have fever
pain or stiffness,I am experiencing pain and stifness
skin,I have got skin infection
weakness,I feel weak and dizzi
itch,I am feeling itchy
urinary infection and anus infection,I have urinary and anus infection
digestion issues,I have issues while digestion
mental or concenteration issues,I have mental and concenteration issues
swelling,I have swelling
weight issues,I have weight related issues
